id,catalogNumber,stateProvince,county,locality,verbatimCoordinates,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,metodo_correccion,confianza_coordenada,coherencia_provincia,criterio_coherencia,dist_fuera_provincia_km,dist_centroide_km,coordenada_compartida,provincia_minoritaria,signo_ambiguo,dms_rango_invalido
680103,3514,Napo,,Río Napo,-0.363411° -75.685774°,-0.363411,-75.685774,-0.363411,-75.685774,original,leida,discordante,poligono_gadm,161.07,242.7,TRUE,TRUE,FALSE,FALSE
680104,3515,Imbabura,,Río Coriyacu,-1.436926° -78.105568°,-1.436926,-78.105568,-1.436926,-78.105568,original,leida,discordante,poligono_gadm,173.8,243.9,FALSE,FALSE,FALSE,FALSE
680107,3518,Pastaza,,Laguna Yanayacu-Chunda Muyuna,3792001 / 9777000,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
680108,3519,Pastaza,,Laguna Yanayacu-Chunda Muyuna,3792001 / 9777000,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
680133,3520,Pastaza,,Laguna Yanayacu-Chunda Muyuna,3792001 / 9777000,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
680134,3521,Pastaza,,Laguna Yanayacu-Chunda Muyuna,3792001 / 9777000,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
680135,3522,Pastaza,,Laguna Yanayacu-Chunda Muyuna,3792001 / 9777000,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
680136,3523,Pastaza,,Laguna Yanayacu-Chunda Muyuna,3792001 / 9777000,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
680137,3524,Pastaza,,Laguna Yanayacu-Chunda Muyuna,3792001 / 9777000,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
680138,3525,Pastaza,,Laguna Yanayacu-Chunda Muyuna,3792001 / 9777000,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
680139,3526,Pastaza,,Río Yanayacu-Unucpiyacu,38200 / 977000,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
680140,3527,Pastaza,,Riachuelo S/N. Cuenca del río,642276 / 9661336,,,-3.063202,-79.719691,utm_zona_32717,convertida,discordante,poligono_gadm,243.71,291.4,FALSE,FALSE,FALSE,FALSE
680208,3589,Pastaza,,Shiguara Cocha,365658 / 9890000,,,-0.994981,-76.207389,utm_zona_32718,convertida,discordante,poligono_gadm,32.17,162,FALSE,FALSE,FALSE,FALSE
